name,category,price,description
shoes,Footwear,1299,Shoes - a reliable footwear product for everyday use.
sneakers,Footwear,1999,Sneakers - a reliable footwear product for everyday use.
sandals,Footwear,499,Sandals - a reliable footwear product for everyday use.
slippers,Footwear,299,Slippers - a reliable footwear product for everyday use.
boots,Footwear,2499,Boots - a reliable footwear product for everyday use.
loafers,Footwear,1599,Loafers - a reliable footwear product for everyday use.
heels,Footwear,1799,Heels - a reliable footwear product for everyday use.
flipflops,Footwear,199,Flipflops - a reliable footwear product for everyday use.
shirt,Apparel,699,Shirt - a reliable apparel product for everyday use.
tshirt,Apparel,399,Tshirt - a reliable apparel product for everyday use.
jeans,Apparel,1299,Jeans - a reliable apparel product for everyday use.
jacket,Apparel,2199,Jacket - a reliable apparel product for everyday use.
hoodie,Apparel,1499,Hoodie - a reliable apparel product for everyday use.
trousers,Apparel,999,Trousers - a reliable apparel product for everyday use.
shorts,Apparel,599,Shorts - a reliable apparel product for everyday use.
skirt,Apparel,799,Skirt - a reliable apparel product for everyday use.
dress,Apparel,1599,Dress - a reliable apparel product for everyday use.
sweater,Apparel,1199,Sweater - a reliable apparel product for everyday use.
kurta,Apparel,899,Kurta - a reliable apparel product for everyday use.
saree,Apparel,2499,Saree - a reliable apparel product for everyday use.
blazer,Apparel,2999,Blazer - a reliable apparel product for everyday use.
raincoat,Apparel,1099,Raincoat - a reliable apparel product for everyday use.
mobile,Electronics,14999,Mobile - a reliable electronics product for everyday use.
smartphone,Electronics,19999,Smartphone - a reliable electronics product for everyday use.
iphone,Electronics,79999,Iphone - a reliable electronics product for everyday use.
tablet,Electronics,15999,Tablet - a reliable electronics product for everyday use.
laptop,Electronics,54999,Laptop - a reliable electronics product for everyday use.
notebook,Electronics,49999,Notebook - a reliable electronics product for everyday use.
keyboard,Electronics,899,Keyboard - a reliable electronics product for everyday use.
mouse,Electronics,599,Mouse - a reliable electronics product for everyday use.
monitor,Electronics,10999,Monitor - a reliable electronics product for everyday use.
webcam,Electronics,1999,Webcam - a reliable electronics product for everyday use.
printer,Electronics,7999,Printer - a reliable electronics product for everyday use.
router,Electronics,1799,Router - a reliable electronics product for everyday use.
pendrive,Electronics,499,Pendrive - a reliable electronics product for everyday use.
harddisk,Electronics,3999,Harddisk - a reliable electronics product for everyday use.
charger,Accessories,499,Charger - a reliable accessories product for everyday use.
cable,Accessories,299,Cable - a reliable accessories product for everyday use.
earphones,Accessories,799,Earphones - a reliable accessories product for everyday use.
headphones,Accessories,2499,Headphones - a reliable accessories product for everyday use.
earbuds,Accessories,1999,Earbuds - a reliable accessories product for everyday use.
bluetooth,Accessories,1299,Bluetooth - a reliable accessories product for everyday use.
speaker,Electronics,2999,Speaker - a reliable electronics product for everyday use.
powerbank,Accessories,1499,Powerbank - a reliable accessories product for everyday use.
smartwatch,Electronics,3999,Smartwatch - a reliable electronics product for everyday use.
watch,Accessories,1999,Watch - a reliable accessories product for everyday use.
camera,Electronics,24999,Camera - a reliable electronics product for everyday use.
tripod,Accessories,899,Tripod - a reliable accessories product for everyday use.
memorycard,Accessories,699,Memorycard - a reliable accessories product for everyday use.
wallet,Accessories,599,Wallet - a reliable accessories product for everyday use.
backpack,Accessories,1299,Backpack - a reliable accessories product for everyday use.
handbag,Accessories,1899,Handbag - a reliable accessories product for everyday use.
sunglasses,Accessories,999,Sunglasses - a reliable accessories product for everyday use.
belt,Accessories,499,Belt - a reliable accessories product for everyday use.
cap,Accessories,299,Cap - a reliable accessories product for everyday use.
scarf,Accessories,399,Scarf - a reliable accessories product for everyday use.
umbrella,Accessories,499,Umbrella - a reliable accessories product for everyday use.
television,HomeAppliances,34999,Television - a reliable homeappliances product for everyday use.
refrigerator,HomeAppliances,24999,Refrigerator - a reliable homeappliances product for everyday use.
microwave,HomeAppliances,7999,Microwave - a reliable homeappliances product for everyday use.
mixer,HomeAppliances,2499,Mixer - a reliable homeappliances product for everyday use.
blender,HomeAppliances,1999,Blender - a reliable homeappliances product for everyday use.
kettle,HomeAppliances,999,Kettle - a reliable homeappliances product for everyday use.
heater,HomeAppliances,1499,Heater - a reliable homeappliances product for everyday use.
fan,HomeAppliances,1699,Fan - a reliable homeappliances product for everyday use.
lamp,HomeAppliances,599,Lamp - a reliable homeappliances product for everyday use.
airconditioner,HomeAppliances,34999,Airconditioner - a reliable homeappliances product for everyday use.
